STN_NAME,STN_NO,X,Y,Latitude,Longitude,COLOR
FAJAR LRT STATION,BP10,21043.4356,40718.8826,1.384520796,103.7708268,GRAY
SEGAR LRT STATION,BP11,20908.767,41078.4025,1.387772131,103.7696171,GRAY
JELAPANG LRT STATION,BP12,20341.7491,40960.202,1.386703025,103.7645235,GRAY
SENJA LRT STATION,BP13,20104.0139,40516.7226,1.382692296,103.7623879,GRAY
TEN MILE JUNCTION LRT STATION,BP14,19856.1189,40254.525,1.380321008,103.760161,GRAY
SOUTH VIEW LRT STATION,BP2,18203.7243,40252.0686,1.380298287,103.7453173,GRAY
KEAT HONG LRT STATION,BP3,18622.5727,40064.5711,1.378602766,103.7490799,GRAY
TECK WHYE LRT STATION,BP4,19140.8,39852.4608,1.376684679,103.7537352,GRAY
PHOENIX LRT STATION,BP5,19621.7772,40066.3155,1.378618844,103.7580559,GRAY
BUKIT PANJANG MRT STATION,BP6/DT1,20011.3981,40108.6838,1.379002117,103.7615559,BLUE
PETIR LRT STATION,BP7,20582.7273,39970.2513,1.377750334,103.7666882,GRAY
PENDING LRT STATION,BP8,21094.7812,39792.4936,1.376142883,103.7712881,GRAY
BANGKIT LRT STATION,BP9,21248.246,40220.9693,1.380017897,103.7726667,GRAY
MACPHERSON MRT STATION,CC10/DT26,34340.0124,34286.1222,1.326345372,103.8902718,ORANGE
TAI SENG MRT STATION,CC11,34107.1526,35291.0164,1.335433322,103.88818,ORANGE
BARTLEY MRT STATION,CC12,33168.3039,36108.7003,1.342828338,103.8797462,ORANGE
LORONG CHUAN MRT STATION,CC14,31431.4054,37079.9444,1.351612171,103.8641434,ORANGE
MARYMOUNT MRT STATION,CC16,28679.3688,36758.7136,1.348707263,103.8394214,ORANGE
CALDECOTT MRT STATION,CC17/TE9,28691.2451,35538.768,1.337674508,103.8395281,ORANGE
BUKIT BROWN MRT STATION,CC18,27707.4166,35102.4802,1.333728882,103.8306903,ORANGE
BOTANIC GARDENS MRT STATION,CC19/DT9,25959.4046,33817.7525,1.322110193,103.8149876,ORANGE
BRAS BASAH MRT STATION,CC2,29930.7674,31025.9016,1.296861687,103.8506629,ORANGE
FARRER ROAD MRT STATION,CC20,25136.2263,33309.1617,1.317510612,103.8075929,ORANGE
HOLLAND VILLAGE MRT STATION,CC21,23868.1442,32681.5744,1.31183479,103.7962016,ORANGE
BUONA VISTA MRT STATION,CC22/EW21,23251.7611,32090.7692,1.306491669,103.7906645,ORANGE
ONE-NORTH MRT STATION,CC23,22896.0731,31346.4085,1.299759879,103.7874693,ORANGE
KENT RIDGE MRT STATION,CC24,22581.5421,30650.0972,1.293462633,103.7846438,ORANGE
HAW PAR VILLA MRT STATION,CC25,22267.5675,29442.573,1.282542157,103.7818234,ORANGE
PASIR PANJANG MRT STATION,CC26,23329.2647,28742.7658,1.276213523,103.7913607,ORANGE
LABRADOR PARK MRT STATION,CC27,24619.0578,28313.6298,1.272332732,103.8029471,ORANGE
TELOK BLANGAH MRT STATION,CC28,25376.8469,28138.9667,1.270753211,103.8097544,ORANGE
ESPLANADE MRT STATION,CC3,30469.0566,30634.4621,1.293321608,103.8554985,ORANGE
PROMENADE MRT STATION,CC4/DT15,31080.6082,30623.0174,1.293218051,103.8609921,ORANGE
NICOLL HIGHWAY MRT STATION,CC5,31374.1708,31347.1516,1.299766835,103.8636292,ORANGE
STADIUM MRT STATION,CC6,32677.7526,31687.0547,1.30284063,103.8753395,ORANGE
MOUNTBATTEN MRT STATION,CC7,33476.5634,32058.7418,1.306201905,103.8825153,ORANGE
DAKOTA MRT STATION,CC8,34159.2741,32299.8905,1.30838264,103.888648,ORANGE
BAYFRONT MRT STATION,CE1/DT16,30867.0093,29368.625,1.281873788,103.8590733,ORANGE
EXPO MRT STATION,CG1/DT35,42270.6232,35193.6223,1.334549778,103.9615134,GREEN
CHANGI AIRPORT MRT STATION,CG2,45254.8614,37711.015,1.357314545,103.9883212,GREEN
STEVENS MRT STATION,DT10,27188.23,33591.6608,1.320065557,103.8260263,BLUE
ROCHOR MRT STATION,DT13,30126.0006,31805.9862,1.306800025,103.8496427,BLUE
DOWNTOWN MRT STATION,DT17,30172.6259,29100.1876,1.27944619,103.8528356,BLUE
TELOK AYER MRT STATION,DT18,29667.6216,29414.5867,1.282289536,103.8482991,BLUE
CASHEW MRT STATION,DT2,20362.9591,39043.5835,1.369369831,103.764714,BLUE
FORT CANNING MRT STATION,DT20,29225.2834,30541.2748,1.292478928,103.8443255,BLUE
BENCOOLEN MRT STATION,DT21,29899.2575,31247.3368,1.29886427,103.8503799,BLUE
JALAN BESAR MRT STATION,DT22,30466.0301,31970.4313,1.305403642,103.8554713,BLUE
BENDEMEER MRT STATION,DT23,31300.8084,32884.7382,1.313672233,103.8629702,BLUE
GEYLANG BAHRU MRT STATION,DT24,32293.7994,33750.9518,1.321505838,103.8718904,BLUE
MATTAR MRT STATION,DT25,33556.5834,34344.8585,1.326876715,103.8832341,BLUE
UBI MRT STATION,DT27,35337.7709,34685.4833,1.329956826,103.8992348,BLUE
KAKI BUKIT MRT STATION,DT28,36362.4224,35239.5458,1.334967302,103.9084393,BLUE
BEDOK NORTH MRT STATION,DT29,37421.7438,35214.6804,1.334742117,103.9179554,BLUE
HILLVIEW MRT STATION,DT3,20666.0676,38266.7899,1.362344869,103.7674369,BLUE
BEDOK RESERVOIR MRT STATION,DT30,39008.3132,35421.0409,1.33660783,103.9322077,BLUE
TAMPINES WEST MRT STATION,DT31,39698.5276,36406.0143,1.345515305,103.938408,BLUE
TAMPINES EAST MRT STATION,DT33,41501.0749,37586.6178,1.356191483,103.9546005,BLUE
UPPER CHANGI MRT STATION,DT34,42262.0767,35988.4036,1.341737484,103.9614367,BLUE
BEAUTY WORLD MRT STATION,DT5,21598.1665,35931.2359,1.341223176,103.77581,BLUE
KING ALBERT PARK MRT STATION,DT6,22489.8451,35316.6349,1.335665121,103.7838201,BLUE
SIXTH AVENUE MRT STATION,DT7,23985.5297,34777.1434,1.330786387,103.7972561,BLUE
TAN KAH KEE MRT STATION,DT8,25106.8667,34234.9609,1.325883209,103.8073292,BLUE
PASIR RIS MRT STATION,EW1,40903.7716,39443.3983,1.372983774,103.9492348,GREEN
KALLANG MRT STATION,EW10,32236.6038,32643.3302,1.31148891,103.8713766,GREEN
LAVENDER MRT STATION,EW11,31284.2589,32186.4342,1.30735702,103.8628215,GREEN
BUGIS MRT STATION,EW12/DT14,30491.5648,31424.3503,1.300465076,103.8557007,GREEN
CITY HALL MRT STATION,EW13/NS25,30144.2851,30591.8478,1.292936243,103.852581,GREEN
RAFFLES PLACE MRT STATION,EW14/NS26,30019.1805,29617.6126,1.284125611,103.8514572,GREEN
TANJONG PAGAR MRT STATION,EW15,29396.2311,28776.7576,1.276521247,103.8458611,GREEN
OUTRAM PARK MRT STATION,EW16/NE3,28646.3739,29316.7727,1.279764543,103.8395732,GREEN
TIONG BAHRU MRT STATION,EW17,27298.9575,29846.251,1.286193393,103.827021,GREEN
REDHILL MRT STATION,EW18,26163.478,30218.8196,1.289562726,103.8168209,GREEN
QUEENSTOWN MRT STATION,EW19,24946.8083,30804.6785,1.294860933,103.8058913,GREEN
TAMPINES MRT STATION,EW2/DT32,40445.4297,37266.9909,1.353301356,103.9451175,GREEN
COMMONWEALTH MRT STATION,EW20,24103.2523,31642.6034,1.302438735,103.7983136,GREEN
DOVER MRT STATION,EW22,21914.5509,32634.1186,1.311405293,103.7786522,GREEN
CLEMENTI MRT STATION,EW23,20430.06,33026.6075,1.314954492,103.7653168,GREEN
JURONG EAST MRT STATION,EW24/NS1,17869.0806,35038.9472,1.33315262,103.7423112,GREEN
CHINESE GARDEN MRT STATION,EW25,16790.7466,36056.3019,1.342352821,103.7326244,GREEN
LAKESIDE MRT STATION,EW26,15494.5171,36267.1619,1.344259249,103.7209802,GREEN
BOON LAY MRT STATION,EW27,13837.9827,35641.9191,1.338604054,103.7060994,GREEN
PIONEER MRT STATION,EW28,12864.9592,35529.4973,1.337586882,103.6973586,GREEN
JOO KOON MRT STATION,EW29,10756.3543,34438.2764,1.327717173,103.6784167,GREEN
SIMEI MRT STATION,EW3,41360.6138,36150.3959,1.343202895,103.9533387,GREEN
GUL CIRCLE MRT STATION,EW30,8772.8552,33530.3675,1.319505215,103.6605988,GREEN
TUAS CRESCENT MRT STATION,EW31,7495.531,33698.6818,1.321026553,103.6491245,GREEN
TUAS WEST ROAD MRT STATION,EW32,6442.6401,34689.7988,1.329989089,103.6396662,GREEN
TUAS LINK MRT STATION,EW33,6138.3115,35848.0658,1.340463766,103.6369324,GREEN
TANAH MERAH MRT STATION,EW4,40578.8616,34379.4144,1.327187135,103.9463161,GREEN
BEDOK MRT STATION,EW5,38757.952,34024.7048,1.323979969,103.9299587,GREEN
KEMBANGAN MRT STATION,EW6,36862.1237,33699.3568,1.321038249,103.9129282,GREEN
EUNOS MRT STATION,EW7,35782.9553,33560.0776,1.319778952,103.9032339,GREEN
PAYA LEBAR MRT STATION,EW8/CC9,34648.6773,33375.7341,1.318112082,103.8930446,GREEN
ALJUNIED MRT STATION,EW9,33518.6049,33190.002,1.316432612,103.882893,GREEN
HARBOURFRONT MRT STATION,NE1/CC29,26678.3445,27555.0595,1.26547264,103.821446,PURPLE
POTONG PASIR MRT STATION,NE10,31977.1677,34842.7289,1.331379525,103.869046,PURPLE
